,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
85623,232000073,801,,ASSAULT - SIMPLE,C11,,0,2023-01-01 06:08:00+00,2023,1,Sunday   ,6,,DRAPER ST,42.30168575530475,-71.06328959271644,"(42.30168575530475, -71.06328959271644)"
85626,232000203,423,,ASSAULT - AGGRAVATED,A1,,0,2023-01-01 17:48:00+00,2023,1,Sunday   ,17,,CONGRESS ST,42.3530069161803,-71.05289388594186,"(42.3530069161803, -71.05289388594186)"
85632,232013594,423,,ASSAULT - AGGRAVATED,C6,,0,2023-02-19 23:47:00+00,2023,2,Sunday   ,23,,HENRY STERLING SQ,42.326921671067794,-71.05447575709353,"(42.326921671067794, -71.05447575709353)"
85650,232000173,423,,ASSAULT - AGGRAVATED,B3,,0,2023-01-01 14:59:00+00,2023,1,Sunday   ,14,,HAZLETON ST,42.279970208965935,-71.09553424528283,"(42.279970208965935, -71.09553424528283)"
85656,232000210,801,,ASSAULT - SIMPLE,C11,,0,2023-01-01 18:54:00+00,2023,1,Sunday   ,18,,DORCHESTER AVE,42.30854680211088,-71.05821274776288,"(42.308546802110875, -71.05821274776288)"
85691,232000230,801,,ASSAULT - SIMPLE,C11,252,0,2023-01-01 19:30:00+00,2023,1,Sunday   ,19,,SAVIN HILL AVE,42.31020222991921,-71.0516852428833,"(42.31020222991921, -71.0516852428833)"
85697,232013291,423,,ASSAULT - AGGRAVATED,D14,778,0,2023-02-18 00:00:00+00,2023,2,Saturday ,0,,WASHINGTON ST,42.34905564195639,-71.1504991731562,"(42.34905564195639, -71.1504991731562)"
85706,242077622,801,,ASSAULT - SIMPLE,B3,444,0,2024-09-11 20:38:00+00,2024,9,Wednesday,20,,GLEASON ST,42.29755650845744,-71.08182108579923,"(42.29755650845744, -71.08182108579923)"
85713,242077660,301,,ROBBERY,B3,418,0,2024-09-11 22:52:00+00,2024,9,Wednesday,22,,MORTON ST,42.280611864800576,-71.08350213587174,"(42.280611864800576, -71.08350213587174)"
85723,242077572,801,,ASSAULT - SIMPLE,E18,493,0,2024-09-11 18:26:00+00,2024,9,Wednesday,18,,RIVER ST,42.2619480823838,-71.10971690223373,"(42.2619480823838, -71.10971690223373)"
85736,242078028,301,,ROBBERY,B2,326,0,2024-09-13 03:55:00+00,2024,9,Friday   ,3,,"BLUE HILL AVE & QUINCY ST
ROXBURY, MA 02121
UNITED",42.31459753581838,-71.0788326444467,"(42.31459753581838, -71.0788326444467)"
85748,242077019,724,,AUTO THEFT,D14,778,0,2024-09-08 14:00:00+00,2024,9,Sunday   ,14,,WASHINGTON ST,42.34905564195639,-71.1504991731562,"(42.34905564195639, -71.1504991731562)"
85753,242076443,801,,ASSAULT - SIMPLE,B2,280,0,2024-09-08 05:38:00+00,2024,9,Sunday   ,5,,DUDLEY ST,42.32872544225124,-71.08382273879404,"(42.32872544225124, -71.08382273879404)"
85754,242077339,801,,ASSAULT - SIMPLE,C11,402,0,2024-09-11 00:34:00+00,2024,9,Wednesday,0,,DORCHESTER AVE,42.285259775052346,-71.06444125443188,"(42.285259775052346, -71.06444125443188)"
85768,242076972,423,,ASSAULT - AGGRAVATED,E5,822,0,2024-09-09 19:46:00+00,2024,9,Monday   ,19,,GEORGETOWNE DR,42.25943430834089,-71.14798150511177,"(42.25943430834089, -71.14798150511177)"
85771,242076873,423,,ASSAULT - AGGRAVATED,A1,77,0,2024-08-02 20:00:00+00,2024,8,Friday   ,20,,NEW SUDBURY ST,42.3618380883142,-71.05976533206233,"(42.3618380883142, -71.05976533206233)"
85772,242077029,301,,ROBBERY,A1,112,0,2024-09-10 01:36:00+00,2024,9,Tuesday  ,1,,"SUMMER ST & HAWLEY ST
BOSTON, MA 02110
UNITED STAT",42.354935549222056,-71.05977039684626,"(42.354935549222056, -71.05977039684626)"
85779,242077083,727,,AUTO THEFT - LEASED/RENTED VEHICLE,C6,200,0,2024-07-18 11:00:00+00,2024,7,Thursday ,11,,W BROADWAY,42.34128702104515,-71.05467980204799,"(42.34128702104515, -71.05467980204799)"
85797,242076824,423,,ASSAULT - AGGRAVATED,A1,119,0,2024-09-09 13:57:00+00,2024,9,Monday   ,13,,TREMONT ST,42.355406901800336,-71.06312478853518,"(42.355406901800336, -71.06312478853518)"
85816,242076480,801,,ASSAULT - SIMPLE,A1,77,0,2024-09-08 10:31:00+00,2024,9,Sunday   ,10,,NEW CHARDON ST,42.36273726117303,-71.06084514153375,"(42.36273726117303, -71.06084514153375)"
85821,242077017,423,,ASSAULT - AGGRAVATED,D4,167,0,2024-09-09 17:00:00+00,2024,9,Monday   ,17,,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
85866,242078194,801,,ASSAULT - SIMPLE,E18,480,0,2024-09-13 15:41:00+00,2024,9,Friday   ,15,,FAIRLAWN AVE,42.26788749585532,-71.1006708622387,"(42.26788749585532, -71.1006708622387)"
85879,242078106,423,,ASSAULT - AGGRAVATED,D14,778,0,2024-09-13 11:20:00+00,2024,9,Friday   ,11,,WASHINGTON ST,42.34905564195639,-71.1504991731562,"(42.34905564195639, -71.1504991731562)"
85885,242078255,801,,ASSAULT - SIMPLE,E18,519,0,2024-09-13 18:13:00+00,2024,9,Friday   ,18,,LINCOLN ST,42.258565797069934,-71.11951706377397,"(42.258565797069934, -71.11951706377397)"
85886,242078347,801,,ASSAULT - SIMPLE,C6,213,0,2024-09-14 01:21:00+00,2024,9,Saturday ,1,,W BROADWAY,42.33611150189893,-71.04665481129499,"(42.336111501898934, -71.04665481129499)"
85891,242077808,801,,ASSAULT - SIMPLE,D4,623,0,2024-09-12 12:36:00+00,2024,9,Thursday ,12,,COMMONWEALTH AVE,42.34877531951968,-71.09606859833355,"(42.34877531951968, -71.09606859833355)"
85899,232093041,801,,ASSAULT - SIMPLE,C11,362,0,2023-11-15 20:20:00+00,2023,11,Wednesday,20,,WASHINGTON ST,42.29212928435548,-71.07175808065172,"(42.292129284355475, -71.07175808065172)"
85910,242077999,724,,AUTO THEFT,D4,627,0,2024-09-12 21:00:00+00,2024,9,Thursday ,21,,BROOKLINE AVE,42.34410675451626,-71.10180317438528,"(42.34410675451626, -71.10180317438528)"
85919,232013202,423,,ASSAULT - AGGRAVATED,D4,,1,2023-02-18 10:52:00+00,2023,2,Saturday ,10,,ALBANY ST,42.334287947313456,-71.07239570643029,"(42.334287947313456, -71.07239570643029)"
85928,232013570,724,,AUTO THEFT,C11,355,0,2023-02-19 00:00:00+00,2023,2,Sunday   ,0,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
85941,232013532,423,,ASSAULT - AGGRAVATED,D4,,0,2023-02-19 16:58:00+00,2023,2,Sunday   ,16,,ALBANY ST,42.334287947313456,-71.07239570643029,"(42.334287947313456, -71.07239570643029)"
85951,232013384,801,,ASSAULT - SIMPLE,E18,,0,2023-02-19 00:48:00+00,2023,2,Sunday   ,0,,FAIRMOUNT AVE,42.25456341480716,-71.1199859472281,"(42.25456341480716, -71.1199859472281)"
85958,232093224,801,,ASSAULT - SIMPLE,D14,778,0,2023-11-16 10:30:00+00,2023,11,Thursday ,10,,WASHINGTON ST,42.34905564195639,-71.1504991731562,"(42.34905564195639, -71.1504991731562)"
85988,252014077,801,,ASSAULT - SIMPLE,D4,619,0,2025-02-21 19:35:00+00,2025,2,Friday   ,19,,WESTLAND AVE,42.34355824108162,-71.08734199876892,"(42.34355824108162, -71.08734199876892)"
85989,252014362,301,,ROBBERY,A1,93,0,2025-02-22 19:59:00+00,2025,2,Saturday ,19,,BLACKSTONE ST,42.36165147765736,-71.05630572410621,"(42.36165147765736, -71.05630572410621)"
85990,232092984,423,,ASSAULT - AGGRAVATED,D4,156,0,2023-11-15 17:52:00+00,2023,11,Wednesday,17,,MASSACHUSETTS AVE,42.33903328390178,-71.07997326238703,"(42.33903328390178, -71.07997326238703)"
86031,232083131,801,,ASSAULT - SIMPLE,A1,77,0,2023-10-13 23:59:00+00,2023,10,Friday   ,23,,NEW SUDBURY ST,42.3618380883142,-71.05976533206233,"(42.3618380883142, -71.05976533206233)"
86037,232083262,801,,ASSAULT - SIMPLE,C6,186,0,2023-10-14 21:53:00+00,2023,10,Saturday ,21,,DISTRICT AVE & LUCY ST,42.32509948406292,-71.06209048239502,"(42.32509948406292, -71.06209048239502)"
86058,232013551,301,,ROBBERY,D4,150,0,2023-02-19 18:00:00+00,2023,2,Sunday   ,18,,"DARTMOUTH & COLUMBUS AVE
BOSTON, MA 02116
UNITED S",42.34583957272099,-71.07526052932843,"(42.34583957272099, -71.07526052932843)"
86066,252003729,301,,ROBBERY,A1,112,0,2025-01-14 18:15:00+00,2025,1,Tuesday  ,18,,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
86093,252014699,423,,ASSAULT - AGGRAVATED,A1,105,0,2025-02-24 02:01:00+00,2025,2,Monday   ,2,,ARCH ST,42.35487317226194,-71.05861263456697,"(42.35487317226194, -71.05861263456697)"
86095,252014491,724,,AUTO THEFT,C11,355,0,2025-02-23 08:45:00+00,2025,2,Sunday   ,8,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
86103,252014509,801,,ASSAULT - SIMPLE,B2,333,0,2025-02-23 11:42:00+00,2025,2,Sunday   ,11,,"QUINCY ST & COLUMBIA RD
DORCHESTER, MA 02125
UNITE",42.31133850823033,-71.07024157916972,"(42.31133850823033, -71.07024157916972)"
86109,252019408,801,,ASSAULT - SIMPLE,B2,309,0,2025-03-12 01:16:00+00,2025,3,Wednesday,1,,CHARLAME PL,42.31905169154725,-71.08411472109825,"(42.31905169154725, -71.08411472109825)"
86113,252018784,801,,ASSAULT - SIMPLE,C6,181,0,2025-03-10 02:09:00+00,2025,3,Monday   ,2,,MASSACHUSETTS AVE,42.327340366505005,-71.06732480614754,"(42.327340366505005, -71.06732480614754)"
86117,232013556,301,,ROBBERY,C11,823,0,2023-02-19 18:15:00+00,2023,2,Sunday   ,18,,STOUGHTON ST,42.31489573177658,-71.0604308272463,"(42.31489573177658, -71.0604308272463)"
86122,232013622,301,,ROBBERY,C11,355,0,2023-02-20 03:00:00+00,2023,2,Monday   ,3,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
86128,232098485,724,,AUTO THEFT,D4,597,0,2023-12-04 08:14:00+00,2023,12,Monday   ,8,,TREMONT ST,42.338715425633936,-71.08152220690779,"(42.338715425633936, -71.08152220690779)"
86140,252018844,801,,ASSAULT - SIMPLE,C11,355,0,2025-03-10 00:01:00+00,2025,3,Monday   ,0,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
86157,252018977,724,,AUTO THEFT,B2,604,0,2025-03-10 06:30:00+00,2025,3,Monday   ,6,,CALUMET ST,42.332825952769646,-71.10542177368707,"(42.332825952769646, -71.10542177368707)"
86165,252019144,724,,AUTO THEFT,E13,303,0,2025-03-11 09:30:00+00,2025,3,Tuesday  ,9,,ERNST ST,42.31832046998103,-71.09934872602408,"(42.31832046998103, -71.09934872602408)"
86172,232098468,423,,ASSAULT - AGGRAVATED,B2,265,1,2023-12-04 03:51:00+00,2023,12,Monday   ,3,,CLIFFORD ST,42.31985398677291,-71.07972576147719,"(42.31985398677291, -71.07972576147719)"
86185,232013383,801,,ASSAULT - SIMPLE,B3,,0,2023-02-19 00:35:00+00,2023,2,Sunday   ,0,,ASPINWALL RD,42.29125540822102,-71.07475155188537,"(42.29125540822102, -71.07475155188537)"
86189,232013460,801,,ASSAULT - SIMPLE,C6,206,0,2023-02-19 01:00:00+00,2023,2,Sunday   ,1,,SEAPORT BLVD,42.35275567415722,-71.04748170860296,"(42.35275567415722, -71.04748170860296)"
86197,232013590,801,,ASSAULT - SIMPLE,D4,,0,2023-02-19 23:10:00+00,2023,2,Sunday   ,23,,LANSDOWNE ST,42.347173203242725,-71.09644445102023,"(42.347173203242725, -71.09644445102023)"
86201,232013343,724,,AUTO THEFT,A1,77,0,2023-02-18 18:00:00+00,2023,2,Saturday ,18,,NEW SUDBURY ST,42.3618380883142,-71.05976533206233,"(42.3618380883142, -71.05976533206233)"
86233,252038889,801,,ASSAULT - SIMPLE,E13,574,0,2025-05-16 00:30:00+00,2025,5,Friday   ,0,,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
86248,252038611,423,,ASSAULT - AGGRAVATED,E18,533,0,2025-05-14 15:30:00+00,2025,5,Wednesday,15,,WESTINGHOUSE PLZ,42.24422929953304,-71.13252031289082,"(42.24422929953304, -71.13252031289082)"
86251,252038898,801,,ASSAULT - SIMPLE,C6,214,0,2025-05-16 02:05:00+00,2025,5,Friday   ,2,,W BROADWAY,42.33611150189893,-71.04665481129499,"(42.336111501898934, -71.04665481129499)"
86254,242109698,801,,ASSAULT - SIMPLE,B2,602,0,2024-12-31 07:39:00+00,2024,12,Tuesday  ,7,,HUNTINGTON AVE,42.3345024302782,-71.10368079694601,"(42.3345024302782, -71.10368079694601)"
86258,242109606,801,,ASSAULT - SIMPLE,A1,173,0,2024-12-30 18:20:00+00,2024,12,Monday   ,18,,ATLANTIC AVE,42.35082971205287,-71.05641848525082,"(42.35082971205287, -71.05641848525082)"
86259,242109855,301,,ROBBERY,B2,302,0,2024-12-31 17:31:00+00,2024,12,Tuesday  ,17,,HIGHLAND ST,42.32339084657159,-71.09547535370616,"(42.32339084657159, -71.09547535370616)"
86266,252000033,801,,ASSAULT - SIMPLE,C6,206,0,2025-01-01 01:32:00+00,2025,1,Wednesday,1,,SEAPORT BLVD,42.35275567415722,-71.04748170860296,"(42.35275567415722, -71.04748170860296)"
86274,242085220,423,,ASSAULT - AGGRAVATED,A1,98,0,2024-10-05 17:24:00+00,2024,10,Saturday ,17,,"MILK ST & WASHINGTON ST
BOSTON, MA 02108
UNITED ST",42.35697752721326,-71.05874443457384,"(42.35697752721326, -71.05874443457384)"
86280,242085420,801,,ASSAULT - SIMPLE,E13,912,0,2024-10-06 14:53:00+00,2024,10,Sunday   ,14,,LAMARTINE ST,42.32214872604249,-71.10091081619228,"(42.32214872604249, -71.10091081619228)"
86281,242085450,301,,ROBBERY,C11,355,0,2024-10-06 17:15:00+00,2024,10,Sunday   ,17,,ADAMS ST,42.29681825067477,-71.05656178567862,"(42.29681825067477, -71.05656178567862)"
86291,232013261,423,,ASSAULT - AGGRAVATED,A7,,0,2023-02-18 14:32:00+00,2023,2,Saturday ,14,,LEYDEN ST,42.3896973185407,-71.00957121730941,"(42.3896973185407, -71.00957121730941)"
86296,242093384,301,,ROBBERY,A7,22,0,2024-11-02 21:48:00+00,2024,11,Saturday ,21,,BENNINGTON ST,42.3754693221924,-71.03730257165637,"(42.375469322192394, -71.03730257165637)"
86301,242093292,423,,ASSAULT - AGGRAVATED,B2,292,0,2024-11-02 14:54:00+00,2024,11,Saturday ,14,,JOHN ELIOT SQ,42.33001274421285,-71.09117921631918,"(42.330012744212844, -71.09117921631918)"
86306,242093578,801,,ASSAULT - SIMPLE,B2,329,0,2024-11-03 19:49:00+00,2024,11,Sunday   ,19,,OLDFIELDS RD,42.30698376203323,-71.07827130028568,"(42.30698376203323, -71.07827130028568)"
86307,242093624,801,,ASSAULT - SIMPLE,B2,317,0,2024-11-04 02:48:00+00,2024,11,Monday   ,2,,HUMBOLDT AVE,42.31315455120141,-71.0894893798054,"(42.31315455120141, -71.0894893798054)"
86323,242093815,423,,ASSAULT - AGGRAVATED,B3,455,0,2024-11-04 16:31:00+00,2024,11,Monday   ,16,,NORWELL ST,42.30132806367327,-71.07870934580936,"(42.30132806367327, -71.07870934580936)"
86339,242093545,801,,ASSAULT - SIMPLE,D4,629,0,2024-11-03 02:00:00+00,2024,11,Sunday   ,2,,BEACON ST,42.3475992911643,-71.1013971503772,"(42.3475992911643, -71.1013971503772)"
86369,252014809,423,,ASSAULT - AGGRAVATED,A1,111,0,2025-02-24 12:35:00+00,2025,2,Monday   ,12,,WINTER ST,42.35571937171451,-71.06110916382396,"(42.35571937171451, -71.06110916382396)"
86371,252015012,724,,AUTO THEFT,E5,728,0,2025-02-20 06:30:00+00,2025,2,Thursday ,6,,VFW PKWY,42.27796335902593,-71.17191381803768,"(42.27796335902593, -71.17191381803768)"
86377,252014973,801,,ASSAULT - SIMPLE,A1,103,0,2025-02-24 19:34:00+00,2025,2,Monday   ,19,,WASHINGTON ST,42.35680027278679,-71.05893069821927,"(42.356800272786785, -71.05893069821927)"
86394,232088497,801,,ASSAULT - SIMPLE,C6,175,0,2023-10-31 17:00:00+00,2023,10,Tuesday  ,17,,SOUTHAMPTON ST,42.33210796742226,-71.07014447893526,"(42.33210796742226, -71.07014447893526)"
86407,242109479,423,,ASSAULT - AGGRAVATED,C6,177,0,2024-12-30 11:19:00+00,2024,12,Monday   ,11,,SOUTHAMPTON ST,42.33210796742226,-71.07014447893526,"(42.33210796742226, -71.07014447893526)"
86417,242109435,801,,ASSAULT - SIMPLE,E13,304,0,2024-12-30 04:43:00+00,2024,12,Monday   ,4,,WASHINGTON ST,42.31615141785685,-71.09795198148072,"(42.31615141785685, -71.09795198148072)"
86438,242109724,706,,AUTO THEFT - MOTORCYCLE / SCOOTER,E13,574,0,2024-12-30 19:00:00+00,2024,12,Monday   ,19,,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
86439,242109746,801,,ASSAULT - SIMPLE,B3,465,0,2024-12-31 11:00:00+00,2024,12,Tuesday  ,11,,BLUE HILL AVE,42.28482533772862,-71.09137437366408,"(42.28482533772862, -71.09137437366408)"
86452,242109927,801,,ASSAULT - SIMPLE,E5,822,0,2024-12-31 21:06:00+00,2024,12,Tuesday  ,21,,GEORGETOWNE DR,42.25661349720231,-71.14449123237792,"(42.25661349720231, -71.14449123237792)"
86453,242109907,724,,AUTO THEFT,C11,355,0,2024-12-23 11:00:00+00,2024,12,Monday   ,11,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
86455,242109873,801,,ASSAULT - SIMPLE,E13,581,0,2024-12-31 18:29:00+00,2024,12,Tuesday  ,18,,CENTRE ST,42.322913645981735,-71.10328464648619,"(42.322913645981735, -71.10328464648619)"
86479,252000032,801,,ASSAULT - SIMPLE,C6,206,0,2025-01-01 01:19:00+00,2025,1,Wednesday,1,,SEAPORT BLVD,42.35275567415722,-71.04748170860296,"(42.35275567415722, -71.04748170860296)"
86489,242109703,801,,ASSAULT - SIMPLE,B3,426,0,2024-12-31 08:59:00+00,2024,12,Tuesday  ,8,,BLUE HILL AVE,42.269098086617504,-71.09361530239119,"(42.269098086617504, -71.09361530239119)"
86499,252000025,423,,ASSAULT - AGGRAVATED,C6,214,0,2025-01-01 01:20:00+00,2025,1,Wednesday,1,,W BROADWAY,42.33611150189893,-71.04665481129499,"(42.336111501898934, -71.04665481129499)"
86502,242109803,801,,ASSAULT - SIMPLE,C11,355,0,2024-12-31 13:00:00+00,2024,12,Tuesday  ,13,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
86508,242109712,727,,AUTO THEFT - LEASED/RENTED VEHICLE,C6,200,0,2024-12-31 10:00:00+00,2024,12,Tuesday  ,10,,W BROADWAY,42.34128702104515,-71.05467980204799,"(42.34128702104515, -71.05467980204799)"
86523,232081863,724,,AUTO THEFT,C6,175,0,2023-10-10 08:40:00+00,2023,10,Tuesday  ,8,,SOUTHAMPTON ST,42.33091592712845,-71.06415157770552,"(42.330915927128444, -71.06415157770552)"
86530,232081955,801,,ASSAULT - SIMPLE,C11,348,0,2023-10-10 13:40:00+00,2023,10,Tuesday  ,13,,FREEPORT ST,42.30530442136358,-71.05719177600996,"(42.30530442136358, -71.05719177600996)"
86542,232081854,724,,AUTO THEFT,E13,574,0,2023-10-10 06:30:00+00,2023,10,Tuesday  ,6,,WASHINGTON STREET,,,
86545,232088115,801,,ASSAULT - SIMPLE,C6,256,0,2023-10-31 08:46:00+00,2023,10,Tuesday  ,8,,MOUNT VERNON ST,42.31779304382397,-71.04211008784884,"(42.31779304382397, -71.04211008784884)"
86566,232098757,301,,ROBBERY,E13,642,0,2023-12-04 22:20:00+00,2023,12,Monday   ,22,,"MYRTLE ST & CENTRE ST
JAMAICA PLAIN, MA 02130
UNIT",42.31322260295338,-71.11409971845782,"(42.31322260295338, -71.11409971845782)"
86571,232071031,423,,ASSAULT - AGGRAVATED,A7,16,0,2023-09-02 23:45:00+00,2023,9,Saturday ,23,,E EAGLE STREET,,,
86580,242093281,801,,ASSAULT - SIMPLE,E13,574,0,2024-11-02 14:49:00+00,2024,11,Saturday ,14,,WASHINGTON ST,42.3119059916297,-71.10213291886643,"(42.3119059916297, -71.10213291886643)"
86587,242093272,724,,AUTO THEFT,E13,574,0,2024-11-01 00:20:00+00,2024,11,Friday   ,0,,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
86601,242093206,423,,ASSAULT - AGGRAVATED,A1,106,0,2024-11-02 09:15:00+00,2024,11,Saturday ,9,,FEDERAL ST,42.35421972075532,-71.05627823227762,"(42.35421972075532, -71.05627823227762)"
86611,242085139,801,,ASSAULT - SIMPLE,A1,111,0,2024-10-05 13:15:00+00,2024,10,Saturday ,13,,TEMPLE PL,42.35521381258802,-71.06206397015934,"(42.35521381258802, -71.06206397015934)"
86613,242085184,801,,ASSAULT - SIMPLE,E18,488,0,2024-10-05 15:40:00+00,2024,10,Saturday ,15,,RIVER STREET,,,
86614,242085254,423,,ASSAULT - AGGRAVATED,B2,603,0,2024-10-05 20:27:00+00,2024,10,Saturday ,20,,TREMONT ST,42.33380641504081,-71.10377903286623,"(42.33380641504081, -71.10377903286623)"
86621,242085205,301,,ROBBERY,C11,387,0,2024-10-05 17:28:00+00,2024,10,Saturday ,17,,"BUTLER ST & ADAMS ST
DORCHESTER, MA 02124
UNITED S",42.27325649764192,-71.0640986166379,"(42.273256497641924, -71.0640986166379)"
86631,242085285,423,,ASSAULT - AGGRAVATED,B2,287,0,2024-10-05 23:11:00+00,2024,10,Saturday ,23,,"WASHINGTON ST & RUGGLES ST
BOSTON, MA 02119
UNITED",42.33105753314482,-71.08277252449061,"(42.33105753314482, -71.08277252449061)"
86650,242085352,801,,ASSAULT - SIMPLE,B2,268,0,2024-10-06 09:07:00+00,2024,10,Sunday   ,9,,DUDLEY ST,42.327425459397766,-71.07702617841521,"(42.327425459397766, -71.07702617841521)"
86656,242093236,801,,ASSAULT - SIMPLE,D14,778,0,2024-10-30 08:00:00+00,2024,10,Wednesday,8,,WASHINGTON ST,42.34905564195639,-71.1504991731562,"(42.34905564195639, -71.1504991731562)"
86668,242093225,301,,ROBBERY,B2,320,0,2024-11-02 10:57:00+00,2024,11,Saturday ,10,,BLUE HILL AVE,42.308897961130576,-71.08305251644269,"(42.308897961130576, -71.08305251644269)"
86671,242093579,801,,ASSAULT - SIMPLE,D4,167,0,2024-11-02 00:00:00+00,2024,11,Saturday ,0,,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
86672,242093406,801,,ASSAULT - SIMPLE,B2,328,0,2024-11-03 00:22:00+00,2024,11,Sunday   ,0,,QUINCY ST,42.312105551897815,-71.07256837565279,"(42.312105551897815, -71.07256837565279)"
86682,242093539,801,,ASSAULT - SIMPLE,C6,206,0,2024-11-01 01:00:00+00,2024,11,Friday   ,1,,SEAPORT BLVD,42.35275567415722,-71.04748170860296,"(42.35275567415722, -71.04748170860296)"
86685,242093569,801,,ASSAULT - SIMPLE,E13,573,0,2024-11-03 19:00:00+00,2024,11,Sunday   ,19,,"GLEN RD & WASHINGTON ST
JAMAICA PLAIN, MA 02130
UN",42.30943460705714,-71.10457067400655,"(42.30943460705714, -71.10457067400655)"
86716,232071205,801,,ASSAULT - SIMPLE,E13,574,0,2023-09-04 04:00:00+00,2023,9,Monday   ,4,,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
86723,232082188,801,,ASSAULT - SIMPLE,E18,522,0,2023-10-11 08:38:00+00,2023,10,Wednesday,8,,HYDE PARK AVE,42.25052837302821,-71.12600245860837,"(42.25052837302821, -71.12600245860837)"
86734,232071386,801,,ASSAULT - SIMPLE,E5,551,0,2023-09-04 18:51:00+00,2023,9,Monday   ,18,,"CHISHOLM RD & CORNELL ST
ROSLINDALE, MA 02131
UNIT",42.2749776512377,-71.1286408407173,"(42.2749776512377, -71.1286408407173)"
86738,232071433,801,,ASSAULT - SIMPLE,A7,16,0,2023-09-04 20:00:00+00,2023,9,Monday   ,20,,E EAGLE ST,42.38132453142911,-71.02804042233107,"(42.38132453142911, -71.02804042233107)"
86747,232071470,423,,ASSAULT - AGGRAVATED,C11,355,0,2023-09-05 00:00:00+00,2023,9,Tuesday  ,0,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
86753,242065251,724,,AUTO THEFT,E13,574,0,2024-08-06 00:00:00+00,2024,8,Tuesday  ,0,,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
86754,242065200,724,,AUTO THEFT,C11,355,0,2024-06-26 13:18:00+00,2024,6,Wednesday,13,,GIBSON STREET,,,
86757,242065367,801,,ASSAULT - SIMPLE,D4,937,0,2024-08-06 21:45:00+00,2024,8,Tuesday  ,21,,SHAWMUT AVE,42.33632340519373,-71.07956101206989,"(42.33632340519373, -71.07956101206989)"
86779,242065926,301,,ROBBERY,D4,162,0,2024-08-08 17:48:00+00,2024,8,Thursday ,17,,"HERALD ST & WASHINGTON ST
BOSTON, MA 02118
UNITED ",42.346630569783926,-71.06457747756808,"(42.346630569783926, -71.06457747756808)"
86783,242065969,801,,ASSAULT - SIMPLE,E13,574,0,2024-08-08 21:15:00+00,2024,8,Thursday ,21,,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
86787,242065931,801,,ASSAULT - SIMPLE,E13,916,0,2024-08-08 18:56:00+00,2024,8,Thursday ,18,,BICKFORD ST,42.324832593498776,-71.10164819022334,"(42.324832593498776, -71.10164819022334)"
86796,232081909,801,,ASSAULT - SIMPLE,A1,77,0,2023-10-06 13:00:00+00,2023,10,Friday   ,13,,SUDBURY ST,,,
86804,232082019,423,,ASSAULT - AGGRAVATED,A1,103,0,2023-10-10 15:47:00+00,2023,10,Tuesday  ,15,,WASHINGTON ST,42.35680027278679,-71.05893069821927,"(42.356800272786785, -71.05893069821927)"
86810,232082164,724,,AUTO THEFT,A1,77,0,2023-10-07 01:30:00+00,2023,10,Saturday ,1,,NEW SUDBURY ST,42.3618380883142,-71.05976533206233,"(42.3618380883142, -71.05976533206233)"
86833,232081918,801,,ASSAULT - SIMPLE,E18,520,0,2023-10-04 11:30:00+00,2023,10,Wednesday,11,,HYDE PARK AVE,42.256215542554976,-71.12402029533455,"(42.256215542554976, -71.12402029533455)"
86846,242093453,423,,ASSAULT - AGGRAVATED,B3,444,0,2024-11-03 00:00:00+00,2024,11,Sunday   ,0,,ESMOND ST,42.296915680373466,-71.08363957934489,"(42.296915680373466, -71.08363957934489)"
86861,242092954,801,,ASSAULT - SIMPLE,E18,490,0,2024-11-01 00:00:00+00,2024,11,Friday   ,0,,AMERICAN LEGION HWY,42.2753127225369,-71.11587873780117,"(42.2753127225369, -71.11587873780117)"
